,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
1335,2,2023-08-25,Fri,Premier League,Matchweek 3,Home,Chelsea,Luton Town,N,FW,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Match Report,Mason-Burstow,2023-24,,,,,,,,,W,3–0,3,0,1.0,1.0,3
1337,0,2023-08-14,Mon,Premier League,Matchweek 1,Home,Manchester Utd,Wolves,Y,CM,67.0,0.0,0.0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,1,0,17,23,73.9,1,17,1,0,0,Match Report,Mason-Mount,2023-24,,,,,,,,,W,1–0,1,0,1.0,1.0,1
1338,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Manchester Utd,Tottenham,Y,"DM,AM",84.0,0.0,0.0,0,0,0,0,0,0,27,1,0,3,0.0,0.0,0.0,3,0,16,20,80.0,3,13,1,1,0,Match Report,Mason-Mount,2023-24,,,,,,,,,L,0–2,0,2,0.0,0.0,2
1340,1,2023-08-11,Fri,Premier League,Matchweek 1,Away,Manchester City,Burnley,N,CM,68.0,0.0,0.0,0,0,0,0,0,0,72.0,2.0,0,3.0,0.0,0.0,0.2,2.0,0.0,61.0,64.0,95.3,4.0,50.0,1.0,3.0,1.0,Match Report,Mateo-Kovacic,2023-24,,,,,,,,,W,3–0,3,0,1.0,0.0,1
1342,3,2023-08-19,Sat,Premier League,Matchweek 2,Home,Manchester City,Newcastle Utd,Y,DM,90.0,0.0,0.0,0,0,2,0,0,0,102.0,1.0,0,0.0,0.1,0.1,0.0,2.0,1.0,91.0,97.0,93.8,6.0,64.0,3.0,2.0,2.0,Match Report,Mateo-Kovacic,2023-24,,,,,,,,,W,1–0,1,0,1.0,1.0,2
1343,4,2023-08-27,Sun,Premier League,Matchweek 3,Away,Manchester City,Sheffield Utd,Y,DM,85.0,0.0,0.0,0,0,2,1,0,0,85.0,1.0,0,2.0,0.1,0.1,0.4,8.0,1.0,68.0,76.0,89.5,12.0,67.0,5.0,2.0,1.0,Match Report,Mateo-Kovacic,2023-24,,,,,,,,,W,2–1,2,1,0.0,0.0,3
1344,5,2023-09-02,Sat,Premier League,Matchweek 4,Home,Manchester City,Fulham,Y,DM,83.0,0.0,0.0,0,0,0,0,0,0,58.0,1.0,1,0.0,0.0,0.0,0.1,1.0,0.0,49.0,53.0,92.5,3.0,38.0,2.0,0.0,0.0,Match Report,Mateo-Kovacic,2023-24,,,,,,,,,W,5–1,5,1,0.0,1.0,4
1345,0,2023-08-14,Mon,Premier League,Matchweek 1,Away,Wolves,Manchester Utd,Y,FW,76.0,0.0,0.0,0,0,5,1,0,0,31,2,2,1,0.6,0.6,0.1,5,0,15,17,88.2,2,19,4,3,3,Match Report,Matheus-Cunha,2023-24,,,,,,,,,L,0–1,0,1,0.0,0.0,1
1346,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,Wolves,Brighton,Y,FW,90.0,0.0,0.0,0,0,1,1,0,0,40,1,0,0,0.4,0.4,0.6,5,1,20,25,80.0,4,27,5,6,5,Match Report,Matheus-Cunha,2023-24,,,,,,,,,L,1–4,1,4,0.0,1.0,2
1347,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,Wolves,Everton,Y,FW,84.0,0.0,0.0,0,0,2,0,0,0,29,1,0,1,0.2,0.2,0.0,0,0,17,19,89.5,1,19,0,2,0,Match Report,Matheus-Cunha,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,3
