first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Dara,O'Shea,0,0,2,180,6,0.1,15.6,0.0,0,31,1.6,0,0,0,0.2,45,DEF
Michael,Obafemi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD
Bailey,Peacock-Farrell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Connor,Roberts,0,0,2,180,6,1.8,8.0,0.0,0,25,1.0,0,0,0,0.3,45,DEF
Jay,Rodriguez,0,0,1,9,0,0.0,0.0,0.0,0,-3,0.0,0,0,0,0.2,54,FWD
Charlie,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,40,DEF
Bobby,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Scott,Twine,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Lawrence,Vigouroux,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Victor,da Silva,0,0,1,90,3,11.4,8.8,2.0,0,6,2.2,0,0,0,0.2,45,DEF
Wout,Weghorst,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,FWD
Anass,Zaroury,0,0,-2,30,1,18.9,0.0,2.0,0,-6,1.7,0,1,0,0.1,49,MID
Sander,Berge,0,0,3,157,6,1.0,3.2,2.0,0,6,0.6,0,0,1,0.2,50,MID
Zeki,Amdouni,0,0,4,140,5,0.8,8.6,21.0,0,12,3.0,0,0,0,0.1,55,FWD
James,Trafford,0,0,4,180,6,0.0,42.2,0.0,0,37,4.2,0,0,0,1.0,45,GK
Nathan,Redmond,0,0,2,23,0,0.0,0.0,0.0,0,5,0.0,0,0,0,0.0,49,MID
Luca,Koleosho,0,0,4,127,5,21.7,0.2,6.0,0,8,2.8,0,0,0,0.0,50,MID
Jacob,Bruun Larsen,0,0,2,38,1,0.6,0.0,9.0,0,3,0.7,0,0,0,0.0,50,MID
Owen,Dodgson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Wilson,Odobert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Hannes,Delcroix,0,0,1,90,3,0.0,0.0,0.0,0,18,0.0,0,0,0,0.0,40,DEF
Aaron,Ramsey,0,0,1,22,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,50,MID
Moisés,Caicedo Corozo,0,0,4,119,1,7.9,17.6,3.0,0,16,2.5,1,0,0,2.8,50,MID
Robert,Sánchez,0,0,10,270,4,0.0,49.8,0.0,0,48,5.0,1,0,0,5.0,45,GK
Ethan,Ampadu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Andrey,Nascimento dos Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Kepa,Arrizabalaga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,50,GK
Pierre-Emerick,Aubameyang,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,FWD
César,Azpilicueta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Abdul Rahman,Baba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Benoît,Badiashile,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Armando,Broja,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,FWD
Trevoh,Chalobah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF
Ben,Chilwell,0,1,14,234,3,101.9,41.6,55.0,2,59,19.8,1,0,0,30.9,58,DEF
Carney,Chukwuemeka,1,0,6,125,2,25.1,34.8,39.0,0,23,9.9,0,0,2,2.0,45,MID
Levi,Colwill,0,0,9,270,4,41.9,42.6,23.0,0,55,10.7,1,0,0,4.1,45,DEF
Marc,Cucurella Saseta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,49,DEF
Enzo,Fernández,0,0,3,270,4,146.7,42.8,49.0,0,28,23.6,1,0,2,4.5,50,MID
David Datro,Fofana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD
Wesley,Fofana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Conor,Gallagher,0,0,7,254,3,33.3,50.4,31.0,0,46,11.5,1,0,0,0.5,55,MID
Malo,Gusto,0,2,16,186,2,36.7,58.8,8.0,2,71,10.4,1,0,0,7.2,41,DEF
Callum,Hudson-Odoi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Reece,James,0,0,2,75,1,35.9,11.4,3.0,0,15,5.0,0,0,0,6.3,54,DEF
Romelu,Lukaku Bolingoli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,69,FWD
Noni,Madueke,0,0,1,15,1,1.6,3.6,13.0,0,3,1.8,0,0,0,0.1,55,MID
Mykhailo,Mudryk,0,0,2,54,2,39.6,11.0,20.0,0,13,7.1,0,0,0,1.4,64,MID
Nicolas,Jackson,1,0,9,262,4,44.8,64.0,151.0,1,34,26.0,1,0,2,20.2,71,FWD
Christopher,Nkunku,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,74,FWD
Christian,Pulisic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID
Malang,Sarr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF
Gabriel,Słonina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
